1787904879,0, 2, 293.61;1, 100, 336.84;2, 0, 401.55;3, 0, 23.73;
1787904881,0, 100, 323.31;1, 100, 583.41;2, 100, 368.33;3, 0, 23.78;
1787904883,0, 100, 483.49;1, 100, 559.66;2, 100, 400.81;3, 0, 23.11;
1787904886,0, 100, 461.58;1, 100, 574.95;2, 100, 441.77;3, 0, 22.34;
1787904888,0, 100, 198.85;1, 100, 555.88;2, 100, 304.51;3, 0, 22.50;
1787904890,0, 100, 326.58;1, 100, 575.20;2, 100, 440.18;3, 0, 22.96;
1787904892,0, 100, 557.45;1, 100, 468.69;2, 100, 454.88;3, 0, 22.43;
1787904894,0, 100, 277.67;1, 100, 324.45;2, 1, 134.07;3, 0, 22.70;
1787904896,0, 100, 575.78;1, 100, 524.42;2, 100, 469.68;3, 0, 22.75;
1787904898,0, 100, 544.02;1, 100, 437.24;2, 100, 175.07;3, 0, 22.86;
1787904900,0, 0, 530.07;1, 100, 525.21;2, 100, 240.45;3, 0, 22.49;
1787904903,0, 100, 551.74;1, 100, 427.62;2, 100, 555.63;3, 0, 22.65;
1787904905,0, 89, 500.78;1, 100, 561.95;2, 100, 540.35;3, 0, 22.65;
1787904907,0, 100, 575.50;1, 100, 575.19;2, 100, 575.07;3, 0, 22.32;
1787904909,0, 100, 417.36;1, 100, 247.51;2, 100, 558.41;3, 0, 22.48;
1787904911,0, 100, 265.20;1, 100, 300.35;2, 100, 302.39;3, 0, 22.62;
1787904913,0, 1, 121.23;1, 90, 158.34;2, 100, 193.02;3, 0, 22.87;
1787904915,0, 93, 564.29;1, 100, 324.74;2, 100, 494.70;3, 0, 22.82;
1787904918,0, 100, 275.48;1, 100, 576.87;2, 100, 543.19;3, 0, 22.83;
1787904920,0, 0, 120.21;1, 0, 118.93;2, 1, 110.80;3, 0, 73.18;
1787904922,0, 100, 562.89;1, 98, 568.33;2, 100, 563.01;3, 87, 537.54;
1787904924,0, 100, 244.30;1, 100, 449.18;2, 100, 394.02;3, 78, 487.62;
1787904926,0, 100, 248.05;1, 100, 574.86;2, 100, 379.96;3, 76, 465.37;
1787904928,0, 100, 521.46;1, 100, 569.94;2, 100, 395.64;3, 84, 497.14;
1787904930,0, 70, 255.35;1, 8, 390.90;2, 0, 279.54;3, 48, 451.46;
1787904933,0, 3, 490.89;1, 0, 218.87;2, 100, 134.56;3, 78, 509.18;
1787904935,0, 100, 541.78;1, 100, 522.22;2, 100, 193.04;3, 76, 489.11;
1787904937,0, 100, 570.34;1, 79, 569.57;2, 100, 275.45;3, 83, 493.87;
1787904939,0, 100, 575.45;1, 100, 284.41;2, 100, 364.34;3, 76, 475.11;
1787904941,0, 100, 344.97;1, 100, 425.34;2, 100, 447.31;3, 83, 426.35;
1787904943,0, 91, 396.76;1, 100, 445.09;2, 100, 469.66;3, 79, 492.52;
1787904945,0, 100, 531.04;1, 90, 544.88;2, 90, 542.70;3, 82, 482.77;
1787904948,0, 100, 257.68;1, 100, 275.25;2, 0, 318.04;3, 84, 499.15;
1787904950,0, 1, 254.04;1, 90, 166.92;2, 100, 349.02;3, 75, 486.32;
1787904952,0, 100, 579.93;1, 100, 512.71;2, 100, 512.99;3, 82, 498.53;
1787904954,0, 100, 297.75;1, 100, 322.04;2, 100, 547.81;3, 83, 475.82;
1787904956,0, 7, 351.83;1, 10, 308.46;2, 5, 395.88;3, 78, 483.35;
1787904958,0, 100, 554.92;1, 10, 502.53;2, 0, 443.70;3, 82, 496.73;
1787904961,0, 100, 558.60;1, 100, 477.88;2, 100, 312.37;3, 73, 460.48;
1787904963,0, 100, 572.92;1, 100, 556.87;2, 100, 508.27;3, 81, 480.74;
1787904965,0, 100, 429.39;1, 100, 538.80;2, 100, 575.85;3, 82, 501.73;
1787904967,0, 100, 562.89;1, 100, 448.36;2, 100, 479.68;3, 75, 489.14;
1787904969,0, 100, 244.80;1, 100, 311.28;2, 35, 124.53;3, 88, 490.24;
1787904971,0, 100, 380.18;1, 100, 507.54;2, 100, 578.07;3, 79, 503.35;
1787904973,0, 100, 505.36;1, 100, 325.70;2, 100, 467.32;3, 81, 476.84;
1787904976,0, 0, 380.20;1, 0, 286.40;2, 0, 413.41;3, 76, 496.97;
1787904978,0, 100, 306.14;1, 19, 534.66;2, 5, 380.73;3, 87, 497.50;
1787904980,0, 100, 418.40;1, 100, 572.44;2, 100, 500.94;3, 78, 485.04;
1787904982,0, 100, 273.76;1, 89, 561.37;2, 100, 471.78;3, 76, 488.14;
1787904984,0, 100, 374.69;1, 100, 574.99;2, 100, 471.32;3, 78, 500.99;
1787904986,0, 100, 523.06;1, 100, 453.15;2, 100, 543.12;3, 77, 473.11;
1787904988,0, 60, 182.87;1, 100, 216.30;2, 100, 218.13;3, 51, 391.99;
1787904990,0, 100, 580.84;1, 100, 271.47;2, 100, 282.65;3, 80, 454.58;
1787904993,0, 0, 507.49;1, 0, 341.15;2, 87, 321.41;3, 90, 386.26;
1787904995,0, 100, 577.28;1, 85, 318.93;2, 21, 522.73;3, 92, 396.02;
1787904997,0, 100, 560.77;1, 100, 562.39;2, 100, 502.38;3, 0, 112.87;
1787904999,0, 100, 304.98;1, 100, 566.46;2, 100, 310.27;3, 0, 93.91;
1787905001,0, 100, 513.25;1, 100, 502.78;2, 99, 528.74;3, 0, 92.65;
1787905003,0, 100, 575.26;1, 88, 449.77;2, 27, 520.27;3, 0, 92.07;
1787905005,0, 100, 426.29;1, 100, 582.38;2, 100, 561.45;3, 0, 92.03;
1787905008,0, 100, 566.72;1, 100, 284.15;2, 100, 552.37;3, 0, 90.95;
1787905010,0, 100, 136.31;1, 100, 552.43;2, 100, 377.66;3, 0, 90.21;
1787905012,0, 100, 220.13;1, 100, 574.86;2, 100, 471.36;3, 0, 90.17;
1787905014,0, 1, 130.41;1, 73, 147.21;2, 100, 169.00;3, 0, 42.69;
1787905016,0, 44, 276.81;1, 0, 255.26;2, 1, 283.70;3, 0, 35.48;
1787905018,0, 100, 372.46;1, 100, 402.09;2, 100, 579.93;3, 0, 27.51;
1787905020,0, 100, 482.12;1, 100, 391.01;2, 100, 474.17;3, 0, 23.86;
1787905023,0, 100, 575.04;1, 100, 255.78;2, 100, 289.80;3, 0, 23.28;
1787905025,0, 100, 459.29;1, 97, 536.60;2, 100, 535.59;3, 0, 23.11;
1787905027,0, 100, 541.74;1, 100, 558.08;2, 100, 465.10;3, 0, 23.48;
1787905029,0, 100, 560.47;1, 100, 359.08;2, 100, 474.82;3, 0, 23.26;
1787905031,0, 100, 319.20;1, 100, 214.70;2, 100, 272.65;3, 0, 23.76;
1787905033,0, 100, 222.03;1, 100, 380.24;2, 100, 309.84;3, 0, 23.52;
1787905035,0, 100, 558.62;1, 100, 575.54;2, 100, 380.61;3, 0, 23.59;
1787905037,0, 100, 354.52;1, 100, 568.93;2, 100, 390.08;3, 0, 23.37;
1787905040,0, 0, 219.94;1, 11, 442.92;2, 11, 332.47;3, 0, 23.23;
1787905042,0, 100, 467.67;1, 100, 433.83;2, 100, 550.64;3, 0, 22.97;
1787905044,0, 100, 522.04;1, 100, 332.75;2, 100, 548.10;3, 0, 22.81;
1787905046,0, 100, 504.07;1, 100, 400.96;2, 100, 574.39;3, 0, 22.65;
1787905048,0, 100, 571.00;1, 100, 575.54;2, 100, 492.67;3, 0, 22.80;
1787905050,0, 100, 563.30;1, 97, 531.54;2, 100, 562.89;3, 0, 22.50;
1787905052,0, 100, 404.45;1, 100, 447.09;2, 88, 555.47;3, 0, 22.42;
1787905054,0, 87, 426.46;1, 100, 447.97;2, 100, 575.35;3, 0, 22.86;
1787905057,0, 100, 549.68;1, 100, 300.92;2, 100, 368.32;3, 0, 22.57;
1787905059,0, 100, 575.20;1, 7, 342.59;2, 0, 414.90;3, 0, 22.93;
1787905061,0, 100, 447.86;1, 76, 562.32;2, 100, 536.75;3, 0, 22.82;
1787905063,0, 100, 349.96;1, 100, 454.99;2, 100, 407.47;3, 0, 23.03;
1787905065,0, 100, 394.88;1, 100, 575.11;2, 100, 421.71;3, 0, 22.58;
1787905067,0, 100, 250.43;1, 100, 436.13;2, 100, 558.03;3, 0, 22.63;
1787905069,0, 34, 259.93;1, 0, 314.04;2, 0, 297.95;3, 0, 32.99;
1787905072,0, 96, 545.31;1, 100, 483.34;2, 100, 535.05;3, 94, 519.35;
1787905074,0, 89, 545.38;1, 100, 382.97;2, 100, 382.85;3, 71, 417.66;
1787905076,0, 100, 575.50;1, 100, 425.78;2, 100, 384.04;3, 80, 465.95;
1787905078,0, 100, 393.19;1, 100, 572.09;2, 100, 515.33;3, 79, 475.08;
1787905080,0, 100, 305.76;1, 89, 258.36;2, 100, 251.01;3, 79, 469.15;
1787905082,0, 100, 380.16;1, 100, 391.59;2, 100, 249.81;3, 88, 513.32;
1787905084,0, 100, 532.15;1, 100, 576.18;2, 100, 242.26;3, 85, 503.12;
1787905087,0, 100, 541.86;1, 100, 340.10;2, 100, 478.81;3, 86, 499.95;
1787905089,0, 100, 191.68;1, 100, 254.15;2, 100, 266.62;3, 71, 418.46;
1787905091,0, 0, 126.27;1, 0, 155.23;2, 53, 197.83;3, 57, 481.43;
1787905093,0, 100, 363.73;1, 100, 490.23;2, 100, 567.52;3, 85, 482.52;
1787905095,0, 100, 342.71;1, 100, 506.90;2, 100, 566.19;3, 89, 491.28;
1787905097,0, 100, 250.24;1, 100, 304.88;2, 100, 302.74;3, 76, 465.56;
1787905099,0, 0, 129.24;1, 0, 267.51;2, 89, 342.21;3, 84, 463.94;
1787905102,0, 100, 426.28;1, 100, 497.59;2, 100, 580.38;3, 82, 503.43;
1787905104,0, 100, 169.98;1, 100, 524.09;2, 100, 560.47;3, 86, 499.66;
1787905106,0, 34, 258.78;1, 2, 466.32;2, 8, 465.00;3, 87, 476.58;
1787905108,0, 100, 562.57;1, 100, 499.27;2, 100, 556.85;3, 85, 499.90;
1787905110,0, 100, 492.76;1, 100, 266.85;2, 100, 461.29;3, 82, 501.68;
1787905112,0, 87, 566.35;1, 100, 327.29;2, 100, 570.41;3, 49, 452.73;
1787905114,0, 100, 486.21;1, 100, 580.61;2, 100, 436.05;3, 83, 488.02;
1787905116,0, 66, 250.32;1, 100, 243.59;2, 100, 263.62;3, 86, 501.43;
1787905119,0, 0, 128.49;1, 100, 403.84;2, 44, 538.89;3, 82, 482.56;
1787905121,0, 100, 355.77;1, 100, 583.20;2, 100, 433.04;3, 84, 516.33;
1787905123,0, 100, 308.67;1, 100, 490.79;2, 100, 580.91;3, 77, 510.24;
1787905125,0, 100, 239.24;1, 100, 403.55;2, 100, 574.98;3, 84, 482.54;
1787905127,0, 100, 365.09;1, 100, 440.60;2, 100, 250.57;3, 81, 476.02;
1787905129,0, 100, 404.39;1, 100, 455.27;2, 100, 348.88;3, 83, 483.57;
1787905131,0, 100, 493.66;1, 100, 574.90;2, 100, 387.34;3, 81, 488.21;
1787905134,0, 15, 539.95;1, 100, 480.19;2, 100, 329.65;3, 87, 505.63;
1787905136,0, 100, 559.12;1, 100, 468.20;2, 97, 541.91;3, 81, 492.40;
1787905138,0, 100, 501.43;1, 100, 407.06;2, 100, 553.52;3, 84, 516.49;
1787905140,0, 100, 482.95;1, 100, 449.09;2, 100, 575.26;3, 47, 457.14;
1787905142,0, 100, 577.25;1, 100, 516.76;2, 100, 460.38;3, 93, 381.29;
1787905144,0, 100, 268.09;1, 100, 342.71;2, 45, 365.30;3, 0, 191.54;
1787905146,0, 85, 346.81;1, 100, 308.65;2, 100, 252.30;3, 0, 94.66;
1787905148,0, 100, 552.91;1, 100, 556.41;2, 100, 347.02;3, 0, 93.49;
1787905151,0, 100, 540.75;1, 100, 519.84;2, 100, 478.49;3, 0, 92.75;
1787905153,0, 0, 326.45;1, 4, 285.65;2, 38, 243.17;3, 0, 91.68;
1787905155,0, 0, 377.61;1, 0, 381.45;2, 0, 214.24;3, 0, 91.12;
1787905157,0, 100, 429.10;1, 100, 580.89;2, 100, 438.74;3, 0, 91.29;
1787905159,0, 100, 564.53;1, 100, 512.11;2, 100, 445.71;3, 0, 90.58;
1787905161,0, 0, 279.88;1, 100, 296.38;2, 100, 252.47;3, 0, 52.48;
1787905163,0, 0, 392.07;1, 0, 350.64;2, 0, 229.59;3, 0, 40.78;
1787905166,0, 100, 485.16;1, 100, 520.28;2, 100, 353.89;3, 0, 37.88;
1787905168,0, 100, 403.96;1, 100, 561.54;2, 100, 558.05;3, 0, 28.92;
1787905170,0, 8, 402.15;1, 5, 481.39;2, 14, 454.45;3, 0, 24.49;
1787905172,0, 100, 561.75;1, 81, 416.23;2, 27, 506.84;3, 0, 24.06;
1787905174,0, 100, 487.37;1, 100, 565.33;2, 100, 375.88;3, 0, 23.70;
1787905176,0, 100, 549.74;1, 100, 407.22;2, 100, 522.42;3, 0, 23.30;
1787905178,0, 100, 514.96;1, 100, 295.88;2, 100, 575.21;3, 0, 23.52;
1787905181,0, 97, 550.48;1, 100, 557.45;2, 100, 569.84;3, 0, 23.31;
1787905183,0, 100, 381.77;1, 100, 453.22;2, 90, 556.39;3, 0, 23.72;
1787905185,0, 100, 352.67;1, 100, 445.05;2, 100, 575.67;3, 0, 23.78;
1787905187,0, 100, 433.16;1, 90, 562.54;2, 100, 311.73;3, 0, 23.25;
1787905189,0, 100, 480.53;1, 67, 563.59;2, 100, 325.61;3, 0, 22.89;
1787905191,0, 100, 502.23;1, 100, 540.00;2, 100, 542.00;3, 0, 22.57;
1787905193,0, 0, 127.90;1, 0, 319.29;2, 0, 118.05;3, 0, 22.55;
1787905196,0, 100, 309.86;1, 100, 561.78;2, 100, 213.94;3, 0, 21.46;
1787905198,0, 100, 397.67;1, 100, 574.53;2, 100, 319.94;3, 0, 21.97;
1787905200,0, 100, 307.93;1, 100, 568.48;2, 100, 369.53;3, 0, 22.12;
1787905202,0, 100, 410.17;1, 7, 539.05;2, 0, 354.20;3, 0, 21.98;
1787905204,0, 97, 536.65;1, 100, 544.58;2, 100, 556.22;3, 0, 22.98;
1787905206,0, 100, 247.72;1, 100, 566.94;2, 100, 548.07;3, 0, 22.29;
1787905208,0, 86, 364.26;1, 100, 573.88;2, 100, 560.25;3, 0, 22.42;
1787905210,0, 100, 578.73;1, 100, 377.85;2, 100, 379.73;3, 0, 22.83;
1787905213,0, 1, 475.28;1, 11, 362.45;2, 100, 449.20;3, 0, 22.76;
1787905215,0, 100, 555.15;1, 100, 569.77;2, 100, 554.55;3, 0, 22.93;
1787905217,0, 100, 345.74;1, 100, 445.26;2, 100, 428.80;3, 0, 23.15;
1787905219,0, 100, 505.53;1, 100, 514.21;2, 100, 575.73;3, 0, 22.51;
1787905221,0, 100, 490.48;1, 100, 540.24;2, 100, 551.28;3, 0, 23.17;
1787905223,0, 10, 499.37;1, 10, 447.57;2, 0, 412.57;3, 1, 27.17;
1787905225,0, 1, 97.40;1, 0, 95.24;2, 0, 89.47;3, 0, 77.44;
1787905228,0, 0, 90.39;1, 0, 67.96;2, 0, 67.44;3, 0, 69.60;
